Epochs,Validation Scores,Validation Running Scores
0,0.023011069744825363,
1,0.022626368328928947,
2,0.02329234592616558,
3,0.022471623495221138,
4,0.022339781746268272,
5,0.022515157237648964,
6,0.023422924801707268,
7,0.022591441869735718,
8,0.02232947014272213,
9,0.02243492752313614,
10,0.022034335881471634,
11,0.02292506769299507,
12,0.021942002698779106,
0,,0.023011069744825363
1,,0.022626368328928947
2,,0.02329234592616558
3,,0.022471623495221138
4,,0.022339781746268272
5,,0.022515157237648964
6,,0.023422924801707268
7,,0.022591441869735718
8,,0.02232947014272213
9,,0.02243492752313614
10,,0.022034335881471634
11,,0.02292506769299507
12,,0.021942002698779106
