Epochs,Validation Scores,Validation Running Scores
0,0.92275,
1,0.9565,
2,0.96375,
3,0.9705,
4,0.97675,
5,0.97775,
6,0.981,
7,0.98125,
8,0.98275,
9,0.9825,
10,0.98375,
11,0.983,
12,0.984,
13,0.98525,
14,0.985,
15,0.9855,
16,0.98475,
17,0.98525,
18,0.98625,
19,0.9865,
20,0.98575,
21,0.98475,
22,0.98525,
23,0.98675,
24,0.98575,
25,0.986,
26,0.98625,
27,0.98525,
28,0.98725,
29,0.98675,
30,0.985,
31,0.98575,
32,0.9855,
33,0.98525,
34,0.98575,
35,0.98675,
36,0.98525,
37,0.9855,
0,,0.92275
1,,0.9565
2,,0.96375
3,,0.9705
4,,0.97675
5,,0.97775
6,,0.981
7,,0.98125
8,,0.98275
9,,0.9825
10,,0.98375
11,,0.983
12,,0.984
13,,0.98525
14,,0.985
15,,0.9855
16,,0.98475
17,,0.98525
18,,0.98625
19,,0.9865
20,,0.98575
21,,0.98475
22,,0.98525
23,,0.98675
24,,0.98575
25,,0.986
26,,0.98625
27,,0.98525
28,,0.98725
29,,0.98675
30,,0.985
31,,0.98575
32,,0.9855
33,,0.98525
34,,0.98575
35,,0.98675
36,,0.98525
37,,0.9855
