Epochs,Validation Scores,Validation Running Scores
0,0.92275,
1,0.9565,
2,0.96375,
3,0.9705,
4,0.97675,
5,0.97775,
6,0.981,
7,0.98125,
8,0.98275,
9,0.9825,
10,0.98375,
11,0.983,
12,0.984,
13,0.98525,
14,0.985,
15,0.9855,
16,0.98475,
17,0.98525,
18,0.98625,
19,0.98675,
20,0.98675,
21,0.987,
22,0.98575,
23,0.9865,
24,0.9855,
25,0.9855,
26,0.98625,
27,0.98625,
28,0.98525,
0,,0.92275
1,,0.9565
2,,0.96375
3,,0.9705
4,,0.97675
5,,0.97775
6,,0.981
7,,0.98125
8,,0.98275
9,,0.9825
10,,0.98375
11,,0.983
12,,0.984
13,,0.98525
14,,0.985
15,,0.9855
16,,0.98475
17,,0.98525
18,,0.98625
19,,0.98675
20,,0.98675
21,,0.987
22,,0.98575
23,,0.9865
24,,0.9855
25,,0.9855
26,,0.98625
27,,0.98625
28,,0.98525
