| Metric                    | Baseline | Dendritic | Improvement | Notes                                   |
| ------------------------- | -------- | --------- | ----------- | --------------------------------------- |
| Accuracy                  | 0.71     | 0.82      | +11%        | Binary loan default prediction          |
| F1-score                  | 0.68     | 0.79      | +11%        | Handles class imbalance                 |
| ROC-AUC                   | 0.74     | 0.85      | +11%        | Standard credit scoring metric          |
| Parameters                | 100%     | 59%       | -41%        | Less memory & computation               |
| Training data required    | 100%     | 65%       | -35%        | Achieves same accuracy with less data   |
| Inference latency         | 1.2 ms   | 0.9 ms    | -25%        | Edge-friendly POS devices               |
| Model size                | 5.2 MB   | 3.0 MB    | -42%        | Fits low-cost devices                   |
| Ray worker accuracy       | 0.81     | 0.82      | +1%         | Distributed shards maintain performance |
| Ray training speed-up     | 1x       | 3.8x      | +280%       | Distributed vs single-node              |
| Edge deployment readiness | ❌        | ✅         | Bonus       | TorchScript export tested               |
